"","log2fc.line.logcbc","pvalue.line.logcbc","qvalue.line.logcbc","log2fc.line.cbc","pvalue.line.cbc","qvalue.line.cbc"
"ENSSSCG00000005528",0.20872097215319,0.00226020365414725,0.0341844079641773,0.156979824827135,0.0130374179541101,0.0900460630625515
"ENSSSCG00000005532",0.205945060905252,0.0127892077324462,0.0734475552528644,0.149907546691217,0.0662883026754234,0.184024899685707
"ENSSSCG00000005533",0.379864651338647,0.162618807328685,0.246207913899505,0.413782976516688,0.107762082485012,0.227509667481424
"ENSSSCG00000005574",0.112495151397175,0.135242025328522,0.223546294590236,0.103972574398408,0.154269874855267,0.265884484773594
"ENSSSCG00000005575",0.174487089975328,0.25992068803381,0.311655442148704,0.157416597410712,0.290957871751095,0.357719408398782
"ENSSSCG00000005576",0.338409507472144,0.0392790609054763,0.123688839811987,0.381520537425311,0.019632791407765,0.108615290569664
"ENSSSCG00000005582",0.203922789709911,0.0186009866461431,0.0871514103903643,0.119589434997508,0.216228275025007,0.312599052413424
"ENSSSCG00000005585",0.0883030728677845,0.475678072213391,0.420581339773877,0.051407511185295,0.653341131774183,0.512825613215977
"ENSSSCG00000005587",0.0106028234226259,0.922238461473678,0.57533547026169,0.00456761318725929,0.96426622355293,0.600658840121246
"ENSSSCG00000005590",0.11600469361565,0.0298470860067012,0.109559545311607,0.105620839531329,0.0368533424663443,0.141801955580378
"ENSSSCG00000005595",0.114334621686853,0.222518745541655,0.288296385367683,0.14755586115967,0.0936466820425048,0.214165476051982
"ENSSSCG00000005596",0.223938734341028,0.0019910264276588,0.0329049974077177,0.148781539252577,0.0404258901708794,0.14762178759921
"ENSSSCG00000005597",0.106352256952623,0.147802313021255,0.234132738358311,0.0789291151390915,0.270932642166402,0.344890429442594
"ENSSSCG00000005599",0.077698343011308,0.194750920488642,0.269603913855336,0.0702372470412056,0.210218112791382,0.308170597254096
"ENSSSCG00000005600",0.118092097376705,0.0407447877970789,0.124743263930519,0.114522016638774,0.0696476849001308,0.186859642414985
"ENSSSCG00000005601",0.16015281671966,0.00848767495655589,0.0621860808374798,0.14215642267133,0.0164685563609556,0.0999968235944769
"ENSSSCG00000005602",0.00941820922622775,0.816916289755422,0.544361951765724,0.00407447515192657,0.915445966197105,0.58863026108092
"ENSSSCG00000005604",0.12748439079842,0.125873612169782,0.21464763338426,0.196463882435872,0.0179790649515528,0.104057782630355
"ENSSSCG00000005605",0.0467399759472262,0.784998926919353,0.534196474069187,0.0118839648498634,0.941439639822411,0.594610192170196
"ENSSSCG00000005607",0.245631797887099,0.209057517369402,0.280152445151275,0.210296865217211,0.268941993109503,0.343541110937368
"ENSSSCG00000005610",0.027790790316349,0.843629786196159,0.552815920976866,0.00835529242319773,0.947886443614467,0.596465937430488
"ENSSSCG00000005611",0.29467489517075,0.00919539138315151,0.063136193487503,0.304407179389706,0.00542382102067496,0.0627207720406432
"ENSSSCG00000005612",0.040985879233627,0.618052865417219,0.476430727386225,0.046872773082084,0.550106664380439,0.476801604816417
"ENSSSCG00000005613",0.00882704504509803,0.930806534588822,0.577070896732839,0.00984521112423006,0.918865227171399,0.589916974042285
"ENSSSCG00000005614",0.293518747785422,0.0274128688821866,0.105090037915019,0.26373880961902,0.0602971645415605,0.177265890468975
"ENSSSCG00000005615",0.0505454459988171,0.724505417168325,0.514078692929442,0.0740354592033561,0.595201831571977,0.493090009985424
"ENSSSCG00000005617",0.146009463683084,0.703910210400043,0.506764660861129,0.096040596722621,0.795414394953614,0.556712021086013
"ENSSSCG00000005619",0.272269114085187,0.00705766127796037,0.0564855884502197,0.295100198652627,0.00194975884548754,0.040358288910747
"ENSSSCG00000005620",0.0463613123921732,0.432433281849943,0.401482073604869,0.0739490901884075,0.214029222390794,0.310629411537807
"ENSSSCG00000005621",0.0101838068309703,0.824586472279775,0.546953632161744,0.0295923130973106,0.520918343043481,0.467107250429445
"ENSSSCG00000005623",0.0660281939961002,0.586650811953258,0.464554032059445,0.112349701129113,0.341084137738518,0.383127087835417
"ENSSSCG00000005625",0.17973391116938,0.605149521437624,0.47189720302333,0.117271869347139,0.727616950917398,0.536372799138873
"ENSSSCG00000005626",0.0224772166119139,0.795718998547225,0.538220543267697,0.021698918946805,0.803364402465423,0.558680339386516
"ENSSSCG00000005628",0.113509854322606,0.190626255460803,0.266986628685736,0.166256292395536,0.099363312284718,0.218579692149177
"ENSSSCG00000005630",0.0407688671809292,0.738356279009848,0.519206836498678,0.0465072947546503,0.68581011499994,0.523433374246343
"ENSSSCG00000005631",0.0589388993443053,0.522224217689994,0.438596145963141,0.0212530343882745,0.810507588267798,0.560572978293401
"ENSSSCG00000005632",0.141380255063312,0.0621571837542847,0.152036311108318,0.125447150870158,0.0839284311827725,0.203959750612533
"ENSSSCG00000005636",0.0263262010204479,0.604093872379045,0.47135227760283,0.00730350344547492,0.876900592855113,0.578924663244152
"ENSSSCG00000005638",0.220355429942573,0.365482891757416,0.370154248528975,0.301359787037127,0.205363990647563,0.305028326061114
"ENSSSCG00000005640",0.0290069950320226,0.583439696606961,0.463218839932993,0.0308046045738042,0.535342661613092,0.471976023847401
"ENSSSCG00000005643",0.00803662358901098,0.884178741368412,0.565240977498394,0.00153093625903434,0.979058146907556,0.604194716842307
"ENSSSCG00000005644",0.213984256451767,0.0162376442547489,0.0811109769339248,0.170766965839915,0.0580363995158959,0.174552580771573
"ENSSSCG00000005645",0.00339933199463976,0.958925226437555,0.584544267976401,0.000413607047325598,0.994834046473786,0.608103263635851
"ENSSSCG00000005646",0.0455940106044926,0.519382502359974,0.437267402956948,0.0518701748923259,0.449569279722572,0.434201570994587
"ENSSSCG00000005648",0.0188749582068707,0.78489188424784,0.534196474069187,0.00472680433356203,0.950114249854023,0.596831403467973
"ENSSSCG00000005649",0.0823369249943061,0.180523276424405,0.260184793423075,0.0793413819250511,0.231247725286892,0.322831837466583
"ENSSSCG00000005650",0.106464284500374,0.712973509255811,0.510266727122998,0.110210291754309,0.688015239447276,0.524109408946324
"ENSSSCG00000005651",0.0924842490999279,0.0544185606004695,0.142907531259878,0.0375435758531294,0.444604503864409,0.431817104091842
"ENSSSCG00000005652",0.00114055500090529,0.980711498991114,0.58872559782695,0.0247328128709868,0.571221347679105,0.483572754232907
"ENSSSCG00000005654",0.0655603869013637,0.402649426412799,0.387961184053569,0.0260516189335302,0.761032218092485,0.546254773182208
